dataset name,sample id,dimension,score
OpenToM_annotation,10092,Causal Reasoning,1
OpenToM_annotation,10092,Cognitive Flexibility,1
OpenToM_annotation,10092,Emotion Perception and Empathy,1
OpenToM_annotation,10092,Episodic Memory,1
OpenToM_annotation,10092,Functional Perception,1
OpenToM_annotation,10092,Inhibitory Control,1
OpenToM_annotation,10092,Language,1
OpenToM_annotation,10092,Mental Simulation,1
OpenToM_annotation,10092,Metacognition,1
OpenToM_annotation,10092,Object Permanence,1
OpenToM_annotation,10092,Perception and Pattern Recognition,1
OpenToM_annotation,10092,Planning,0
OpenToM_annotation,10092,Procedural Memory,0
OpenToM_annotation,10092,Prospective Memory,0
OpenToM_annotation,10092,Semantic Memory,2
OpenToM_annotation,10092,Spatial Reasoning and Navigation,1
OpenToM_annotation,10092,Theory of Mind,2
OpenToM_annotation,10092,Working Memory,1
OpenToM_annotation,10092,ambiguity,5
OpenToM_annotation,10092,factuality,5
OpenToM_annotation,10134,Causal Reasoning,1
OpenToM_annotation,10134,Cognitive Flexibility,0
OpenToM_annotation,10134,Emotion Perception and Empathy,0
OpenToM_annotation,10134,Episodic Memory,1
OpenToM_annotation,10134,Functional Perception,0
OpenToM_annotation,10134,Inhibitory Control,1
OpenToM_annotation,10134,Language,1
OpenToM_annotation,10134,Mental Simulation,0
OpenToM_annotation,10134,Metacognition,0
OpenToM_annotation,10134,Object Permanence,1
OpenToM_annotation,10134,Perception and Pattern Recognition,0
OpenToM_annotation,10134,Planning,0
OpenToM_annotation,10134,Procedural Memory,0
OpenToM_annotation,10134,Prospective Memory,0
OpenToM_annotation,10134,Semantic Memory,1
OpenToM_annotation,10134,Spatial Reasoning and Navigation,1
OpenToM_annotation,10134,Theory of Mind,0
OpenToM_annotation,10134,Working Memory,1
OpenToM_annotation,10134,ambiguity,5
OpenToM_annotation,10134,factuality,5
OpenToM_annotation,10197,Causal Reasoning,0
OpenToM_annotation,10197,Cognitive Flexibility,0
OpenToM_annotation,10197,Emotion Perception and Empathy,0
OpenToM_annotation,10197,Episodic Memory,1
OpenToM_annotation,10197,Functional Perception,0
OpenToM_annotation,10197,Inhibitory Control,0
OpenToM_annotation,10197,Language,1
OpenToM_annotation,10197,Mental Simulation,0
OpenToM_annotation,10197,Metacognition,0
OpenToM_annotation,10197,Object Permanence,0
OpenToM_annotation,10197,Perception and Pattern Recognition,1
OpenToM_annotation,10197,Planning,0
OpenToM_annotation,10197,Procedural Memory,0
OpenToM_annotation,10197,Prospective Memory,0
OpenToM_annotation,10197,Semantic Memory,1
OpenToM_annotation,10197,Spatial Reasoning and Navigation,1
OpenToM_annotation,10197,Theory of Mind,0
OpenToM_annotation,10197,Working Memory,1
OpenToM_annotation,10197,ambiguity,5
OpenToM_annotation,10197,factuality,5
OpenToM_annotation,10208,Causal Reasoning,1
OpenToM_annotation,10208,Cognitive Flexibility,0
OpenToM_annotation,10208,Emotion Perception and Empathy,0
OpenToM_annotation,10208,Episodic Memory,1
OpenToM_annotation,10208,Functional Perception,0
OpenToM_annotation,10208,Inhibitory Control,0
OpenToM_annotation,10208,Language,1
OpenToM_annotation,10208,Mental Simulation,0
OpenToM_annotation,10208,Metacognition,0
OpenToM_annotation,10208,Object Permanence,1
OpenToM_annotation,10208,Perception and Pattern Recognition,1
OpenToM_annotation,10208,Planning,0
OpenToM_annotation,10208,Procedural Memory,0
OpenToM_annotation,10208,Prospective Memory,0
OpenToM_annotation,10208,Semantic Memory,2
OpenToM_annotation,10208,Spatial Reasoning and Navigation,1
OpenToM_annotation,10208,Theory of Mind,2
OpenToM_annotation,10208,Working Memory,1
OpenToM_annotation,10208,ambiguity,5
OpenToM_annotation,10208,factuality,5
OpenToM_annotation,10249,Causal Reasoning,0
OpenToM_annotation,10249,Cognitive Flexibility,0
OpenToM_annotation,10249,Emotion Perception and Empathy,0
OpenToM_annotation,10249,Episodic Memory,1
OpenToM_annotation,10249,Functional Perception,0
OpenToM_annotation,10249,Inhibitory Control,1
OpenToM_annotation,10249,Language,1
OpenToM_annotation,10249,Mental Simulation,0
OpenToM_annotation,10249,Metacognition,0
OpenToM_annotation,10249,Object Permanence,0
OpenToM_annotation,10249,Perception and Pattern Recognition,1
OpenToM_annotation,10249,Planning,0
OpenToM_annotation,10249,Procedural Memory,0
OpenToM_annotation,10249,Prospective Memory,0
OpenToM_annotation,10249,Semantic Memory,1
OpenToM_annotation,10249,Spatial Reasoning and Navigation,1
OpenToM_annotation,10249,Theory of Mind,0
OpenToM_annotation,10249,Working Memory,1
OpenToM_annotation,10249,ambiguity,5
OpenToM_annotation,10249,factuality,5
OpenToM_annotation,10281,Causal Reasoning,0
OpenToM_annotation,10281,Cognitive Flexibility,0
OpenToM_annotation,10281,Emotion Perception and Empathy,0
OpenToM_annotation,10281,Episodic Memory,1
OpenToM_annotation,10281,Functional Perception,0
OpenToM_annotation,10281,Inhibitory Control,0
OpenToM_annotation,10281,Language,1
OpenToM_annotation,10281,Mental Simulation,0
OpenToM_annotation,10281,Metacognition,0
OpenToM_annotation,10281,Object Permanence,0
OpenToM_annotation,10281,Perception and Pattern Recognition,1
OpenToM_annotation,10281,Planning,0
OpenToM_annotation,10281,Procedural Memory,0
OpenToM_annotation,10281,Prospective Memory,0
OpenToM_annotation,10281,Semantic Memory,1
OpenToM_annotation,10281,Spatial Reasoning and Navigation,1
OpenToM_annotation,10281,Theory of Mind,0
OpenToM_annotation,10281,Working Memory,1
OpenToM_annotation,10281,ambiguity,5
OpenToM_annotation,10281,factuality,5
OpenToM_annotation,10311,Causal Reasoning,1
OpenToM_annotation,10311,Cognitive Flexibility,2
OpenToM_annotation,10311,Emotion Perception and Empathy,0
OpenToM_annotation,10311,Episodic Memory,1
OpenToM_annotation,10311,Functional Perception,1
OpenToM_annotation,10311,Inhibitory Control,1
OpenToM_annotation,10311,Language,2
OpenToM_annotation,10311,Mental Simulation,1
OpenToM_annotation,10311,Metacognition,2
OpenToM_annotation,10311,Object Permanence,1
OpenToM_annotation,10311,Perception and Pattern Recognition,1
OpenToM_annotation,10311,Planning,0
OpenToM_annotation,10311,Procedural Memory,0
OpenToM_annotation,10311,Prospective Memory,0
OpenToM_annotation,10311,Semantic Memory,2
OpenToM_annotation,10311,Spatial Reasoning and Navigation,1
OpenToM_annotation,10311,Theory of Mind,3
OpenToM_annotation,10311,Working Memory,3
OpenToM_annotation,10311,ambiguity,5
OpenToM_annotation,10311,factuality,1
OpenToM_annotation,10345,Causal Reasoning,0
OpenToM_annotation,10345,Cognitive Flexibility,0
OpenToM_annotation,10345,Emotion Perception and Empathy,0
OpenToM_annotation,10345,Episodic Memory,1
OpenToM_annotation,10345,Functional Perception,0
OpenToM_annotation,10345,Inhibitory Control,0
OpenToM_annotation,10345,Language,1
OpenToM_annotation,10345,Mental Simulation,0
OpenToM_annotation,10345,Metacognition,0
OpenToM_annotation,10345,Object Permanence,0
OpenToM_annotation,10345,Perception and Pattern Recognition,1
OpenToM_annotation,10345,Planning,0
OpenToM_annotation,10345,Procedural Memory,0
OpenToM_annotation,10345,Prospective Memory,0
OpenToM_annotation,10345,Semantic Memory,1
OpenToM_annotation,10345,Spatial Reasoning and Navigation,1
OpenToM_annotation,10345,Theory of Mind,0
OpenToM_annotation,10345,Working Memory,1
OpenToM_annotation,10345,ambiguity,5
OpenToM_annotation,10345,factuality,5
OpenToM_annotation,10449,Causal Reasoning,0
OpenToM_annotation,10449,Cognitive Flexibility,0
OpenToM_annotation,10449,Emotion Perception and Empathy,0
OpenToM_annotation,10449,Episodic Memory,1
OpenToM_annotation,10449,Functional Perception,0
OpenToM_annotation,10449,Inhibitory Control,0
OpenToM_annotation,10449,Language,1
OpenToM_annotation,10449,Mental Simulation,0
OpenToM_annotation,10449,Metacognition,0
OpenToM_annotation,10449,Object Permanence,0
OpenToM_annotation,10449,Perception and Pattern Recognition,1
OpenToM_annotation,10449,Planning,0
OpenToM_annotation,10449,Procedural Memory,0
OpenToM_annotation,10449,Prospective Memory,0
OpenToM_annotation,10449,Semantic Memory,1
OpenToM_annotation,10449,Spatial Reasoning and Navigation,1
OpenToM_annotation,10449,Theory of Mind,0
OpenToM_annotation,10449,Working Memory,1
OpenToM_annotation,10449,ambiguity,5
OpenToM_annotation,10449,factuality,5
OpenToM_annotation,1058,Causal Reasoning,1
OpenToM_annotation,1058,Cognitive Flexibility,1
OpenToM_annotation,1058,Emotion Perception and Empathy,0
OpenToM_annotation,1058,Episodic Memory,1
OpenToM_annotation,1058,Functional Perception,1
OpenToM_annotation,1058,Inhibitory Control,1
OpenToM_annotation,1058,Language,1
OpenToM_annotation,1058,Mental Simulation,1
OpenToM_annotation,1058,Metacognition,0
OpenToM_annotation,1058,Object Permanence,1
OpenToM_annotation,1058,Perception and Pattern Recognition,1
OpenToM_annotation,1058,Planning,0
OpenToM_annotation,1058,Procedural Memory,0
OpenToM_annotation,1058,Prospective Memory,0
OpenToM_annotation,1058,Semantic Memory,1
OpenToM_annotation,1058,Spatial Reasoning and Navigation,1
OpenToM_annotation,1058,Theory of Mind,3
OpenToM_annotation,1058,Working Memory,1
OpenToM_annotation,1058,ambiguity,5
OpenToM_annotation,1058,factuality,5
OpenToM_annotation,10698,Causal Reasoning,1
OpenToM_annotation,10698,Cognitive Flexibility,0
OpenToM_annotation,10698,Emotion Perception and Empathy,0
OpenToM_annotation,10698,Episodic Memory,1
OpenToM_annotation,10698,Functional Perception,0
OpenToM_annotation,10698,Inhibitory Control,0
OpenToM_annotation,10698,Language,1
OpenToM_annotation,10698,Mental Simulation,0
OpenToM_annotation,10698,Metacognition,0
OpenToM_annotation,10698,Object Permanence,0
OpenToM_annotation,10698,Perception and Pattern Recognition,0
OpenToM_annotation,10698,Planning,0
OpenToM_annotation,10698,Procedural Memory,0
OpenToM_annotation,10698,Prospective Memory,1
OpenToM_annotation,10698,Semantic Memory,1
OpenToM_annotation,10698,Spatial Reasoning and Navigation,1
OpenToM_annotation,10698,Theory of Mind,1
OpenToM_annotation,10698,Working Memory,1
OpenToM_annotation,10698,ambiguity,5
OpenToM_annotation,10698,factuality,5
OpenToM_annotation,10722,Causal Reasoning,1
OpenToM_annotation,10722,Cognitive Flexibility,0
OpenToM_annotation,10722,Emotion Perception and Empathy,0
OpenToM_annotation,10722,Episodic Memory,1
OpenToM_annotation,10722,Functional Perception,1
OpenToM_annotation,10722,Inhibitory Control,0
OpenToM_annotation,10722,Language,2
OpenToM_annotation,10722,Mental Simulation,1
OpenToM_annotation,10722,Metacognition,0
OpenToM_annotation,10722,Object Permanence,1
OpenToM_annotation,10722,Perception and Pattern Recognition,0
OpenToM_annotation,10722,Planning,0
OpenToM_annotation,10722,Procedural Memory,1
OpenToM_annotation,10722,Prospective Memory,0
OpenToM_annotation,10722,Semantic Memory,1
OpenToM_annotation,10722,Spatial Reasoning and Navigation,1
OpenToM_annotation,10722,Theory of Mind,2
OpenToM_annotation,10722,Working Memory,1
OpenToM_annotation,10722,ambiguity,5
OpenToM_annotation,10722,factuality,5
OpenToM_annotation,10883,Causal Reasoning,1
