dataset name,sample id,dimension,score
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Causal Reasoning,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Cognitive Flexibility,0
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Emotion Perception and Empathy,0
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Episodic Memory,1
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Functional Perception,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Inhibitory Control,1
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Language,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Mental Simulation,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Metacognition,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Object Permanence,0
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Perception and Pattern Recognition,1
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Planning,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Procedural Memory,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Prospective Memory,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Semantic Memory,1
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Spatial Reasoning and Navigation,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Theory of Mind,0
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,Working Memory,2
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,ambiguity,5
plan_bench_annotation,blocksworld_3_task_1_plan_generation_15,factuality,5
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Causal Reasoning,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Cognitive Flexibility,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Emotion Perception and Empathy,0
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Episodic Memory,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Functional Perception,3
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Inhibitory Control,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Language,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Mental Simulation,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Metacognition,3
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Object Permanence,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Perception and Pattern Recognition,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Planning,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Procedural Memory,3
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Prospective Memory,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Semantic Memory,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Spatial Reasoning and Navigation,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Theory of Mind,0
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,Working Memory,3
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,ambiguity,5
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_56,factuality,5
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Causal Reasoning,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Cognitive Flexibility,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Emotion Perception and Empathy,0
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Episodic Memory,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Functional Perception,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Inhibitory Control,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Language,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Mental Simulation,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Metacognition,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Object Permanence,0
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Perception and Pattern Recognition,1
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Planning,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Procedural Memory,2
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Prospective Memory,0
plan_bench_annotation,blocksworld_3_task_2_plan_optimality_77,Semantic Memory,1
